"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953299","2.9","1855","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953299","2.9","2636","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953299","2.9","2586","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953300","2.10","2587","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953300","2.10","2812","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953300","2.10","2738","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953300","2.10","2783","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953300","2.10","3199","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953300","2.10","2505","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953300","2.10","2572","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953300","2.10","2524","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953301","2.11","2587","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953301","2.11","2847","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953301","2.11","2326","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953301","2.11","2395","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953301","2.11","3123","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953301","2.11","3062","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953301","2.11","3964","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953301","2.11","3890","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953302","2.12","2587","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953302","2.12","2536","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953302","2.12","2346","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953302","2.12","2458","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953302","2.12","3019","","","","0"
