"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023/2024","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953803","2.21","5408","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953803","2.21","5307","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953804","2.22","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953804","2.22","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953804","2.22","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953804","2.22","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953804","2.22","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953804","2.22","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953804","2.22","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1411953804","2.22","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953806","3.2","13526","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953806","3.2","13221","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953806","3.2","9892","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953806","3.2","10012","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953806","3.2","9776","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953806","3.2","9335","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953806","3.2","9344","","","","0"
"2024/2025","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953806","3.2","9626","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953807","3.3","","..","","","0"
"2018/2019","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953807","3.3","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953807","3.3","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953807","3.3","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953807","3.3","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953807","3.3","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953807","3.3","","..","","","0"
