"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2021","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953570","2.19","11845","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953570","2.19","11460","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953570","2.19","14947","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953570","2.19","14953","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953570","2.19","15270","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1427049971","2.20","9556","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1427049971","2.20","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1427049971","2.20","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1427049971","2.20","11845","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1427049971","2.20","11460","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1427049971","2.20","14947","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1427049971","2.20","14953","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Constant dollars","370","units","0","v1427049971","2.20","15270","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953572","3.2","13807","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953572","3.2","16253","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953572","3.2","16276","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953572","3.2","16483","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953572","3.2","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953572","3.2","15377","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953572","3.2","","..","","","0"
"2024/2025","Prince Edward Island","2016A000211","Education","Constant dollars","370","units","0","v1411953572","3.2","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953573","3.3","14184","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953573","3.3","14145","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953573","3.3","14150","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953573","3.3","14325","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953573","3.3","13998","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953573","3.3","13368","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953573","3.3","13374","","","","0"
"2024/2025","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Constant dollars","370","units","0","v1411953573","3.3","13780","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953574","3.4","14184","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953574","3.4","14145","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953574","3.4","14150","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953574","3.4","14325","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953574","3.4","13998","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953574","3.4","13368","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953574","3.4","13374","","","","0"
"2024/2025","Prince Edward Island","2016A000211","Humanities","Constant dollars","370","units","0","v1411953574","3.4","13780","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953575","3.5","14184","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953575","3.5","14145","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953575","3.5","14150","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953575","3.5","14325","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953575","3.5","13998","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953575","3.5","13368","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953575","3.5","13374","","","","0"
"2024/2025","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Constant dollars","370","units","0","v1411953575","3.5","13780","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953576","3.6","","..","","","0"
"2018/2019","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953576","3.6","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953576","3.6","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953576","3.6","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953576","3.6","","..","","","0"
"2022/2023","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953576","3.6","","..","","","0"
"2023/2024","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953576","3.6","","..","","","0"
"2024/2025","Prince Edward Island","2016A000211","Law","Constant dollars","370","units","0","v1411953576","3.6","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Business, management and public administration","Constant dollars","370","units","0","v1411953577","3.7","14184","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Business, management and public administration","Constant dollars","370","units","0","v1411953577","3.7","14145","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Business, management and public administration","Constant dollars","370","units","0","v1411953577","3.7","14150","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Business, management and public administration","Constant dollars","370","units","0","v1411953577","3.7","14325","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Business, management and public administration","Constant dollars","370","units","0","v1411953577","3.7","13998","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Business, management and public administration","Constant dollars","370","units","0","v1411953577","3.7","13368","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Business, management and public administration","Constant dollars","370","units","0","v1411953577","3.7","13374","","","","0"
"2024/2025","Prince Edward Island","2016A000211","Business, management and public administration","Constant dollars","370","units","0","v1411953577","3.7","13780","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953578","3.8","14184","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953578","3.8","14145","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953578","3.8","14150","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953578","3.8","14325","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953578","3.8","13998","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953578","3.8","13368","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953578","3.8","13374","","","","0"
"2024/2025","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953578","3.8","13780","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953579","3.9","14184","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953579","3.9","14145","","","","0"
